Test_Number,Unix_Test_Start_Time,Word,WPM,Error_Rate,Error_and_Backspace_Rate
,,way,101.993242,0,0
,,of,187.604383,0,0
,,sowing,162.463351,0,0
,,according,161.795253,0,0
,,to,152.376128,0,0
,,its,119.829678,0,0
,,species,98.438219,0,0
,,And,142.514394,0,0
,,God,119.805898,0,0
,,saw,167.93611,0,0
,,that,152.935549,0,0
,,it,189.970294,0,0
,,was,179.766743,0,0
,,good,115.957784,0,0
,,And,102.147222,0,0
,,it,186.154553,0,0
,,became,174.133173,0,0
,,evening,173.934479,0,0
,,and,228.663694,0,0
,,the,193.123368,0,0
,,morning,150.76999,0,0
,,the,192.968373,0,0
,,third,174.988596,0,0
,,day,179.743364,0,0
,,Then,112.252382,0,0
,,God,104.627829,0,0
,,said,213.921416,0,0
,,Let,93.563057,0,0
,,there,185.263288,0,0
,,be,140.449386,0,0
,,lights,219.041748,0,0
,,in,165.139052,0,0
,,the,235.50544,0,0
,,firmament,56.61137,0.333333,0.666667
,,of,185.555253,0,0
,,heaven,164.154312,0,0
,,And,147.942811,0,0
,,let,62.011958,0,0
,,them,159.508612,0,0
,,divide,137.598678,0,0
,,day,132.637706,0,0
,,from,160.19785,0,0
,,night,170.90161,0,0
,,and,251.756618,0,0
,,let,149.054711,0,0
,,them,159.796183,0,0
,,become,153.798258,0,0
,,signs,162.008712,0,0
,,both,130.949127,0,0
,,of,186.625154,0,0
,,the,214.147226,0,0
,,seasons,59.009922,0.428571,0.857143
,,and,251.597327,0,0
,,of,152.816931,0,0
,,the,211.389506,0,0
,,days,105.442537,0,0
,,and,210.597807,0,0
,,years,167.903641,0,0
,,Let,97.162473,0,0
,,them,162.118031,0,0
,,shine,116.868809,0,0
,,in,112.595878,0,0
,,the,50.844141,0.333333,0.666667
,,firmament,165.457977,0,0
,,of,140.524136,0,0
,,heaven,34.445418,1.166667,1.5
,,and,209.569422,0,0
,,illuminate,125.66612,0,0
,,the,229.145815,0,0
,,earth,168.304594,0,0
,,And,105.358344,0,0
,,so,98.641682,0,0
,,it,155.881969,0,0
,,became,175.371828,0,0
,,And,121.106401,0,0
,,God,120.377536,0,0
,,made,30.952479,1,1.25
,,two,115.585887,0,0
,,great,221.510847,0,0
,,lights,208.598234,0,0
,,a,139.070455,0,0
,,greater,217.51466,0,0
,,light,168.456806,0,0
,,to,145.34626,0,0
,,rule,145.852087,0,0
,,over,24.649165,1.5,2
,,the,224.666379,0,0
,,day,148.935651,0,0
,,and,209.718522,0,0
,,a,86.119311,0,0
,,lesser,125.984116,0,0
,,light,174.307417,0,0
,,to,140.329069,0,0
,,rule,159.976186,0,0
,,over,152.443195,0,0
,,the,199.319965,0,0
,,night,161.534989,0,0
,,along,198.030522,0,0
,,with,136.228054,0,0
,,the,179.904794,0,0
,,stars,144.946728,0,0
,,And,10.418739,0,0.333333
,,he,17.622178,0,0
,,set,120.666076,0,0
,,them,25.401142,0,0.25
,,in,128.943598,0,0
,,the,206.198774,0,0
,,firmament,152.386356,0,0
,,of,187.31154,0,0
,,heaven,152.663792,0,0
,,to,172.70615,0,0
,,give,152.829154,0,0
,,light,200.263461,0,0
,,over,163.597887,0,0
,,all,125.756408,0,0
,,the,195.068659,0,0
,,earth,72.956496,0.2,0.4
,,and,44.592446,0,0
,,to,155.842473,0,0
,,rule,146.066608,0,0
,,over,167.956361,0,0
,,the,209.004305,0,0
,,day,21.476198,2,2.666667
,,as,129.693525,0,0
,,well,115.897079,0,0
,,as,131.880526,0,0
,,the,248.069879,0,0
,,night,162.761141,0,0
,,and,251.12342,0,0
,,to,143.615173,0,0
,,divide,157.401228,0,0
,,light,144.992037,0,0
,,from,168.266474,0,0
,,darkness,132.511873,0,0
,,And,149.555823,0,0
,,God,114.755534,0,0
,,saw,160.170463,0,0
,,that,159.910735,0,0
,,it,187.989198,0,0
,,was,158.371638,0,0
,,good,121.255017,0,0
,,And,54.148417,0,0
,,it,167.295704,0,0
,,became,152.918205,0,0
,,evening,184.165311,0,0
,,and,217.520151,0,0
